DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Scar,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,Other
Scar,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Fatal,Morning,Other
Tor & E York,NK,Arterial,Rain,Non-Fatal,Evening,Other
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Rain,Non-Fatal,Evening,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,NK,NA,Clear,Non-Fatal,Night,Other
N York,Youth,NA,Clear,Non-Fatal,Night,Other
Eto York,Adoloscent,Local,Clear,Non-Fatal,Evening,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Night,Other
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Senior,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Bicycle
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Night,NA
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Youth,Arterial,Rain,Non-Fatal,Evening,Other
N York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Adoloscent,Arterial,Clear,Non-Fatal,Night,NA
Tor & E York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
